Titre du livre,Tags,Auteur.ice.s,Année,Pays,Genre littéraire
Americanah,"féminisme intersectionnel,identité,racisme",Chimamanda Ngozi Adichie,2015,"Etats-Unis,Nigeria",Roman
Les oiselles sauvages,"LGBT,LGBTQIA+,avortement,lesbianisme,lesbienne,non-désir d'enfant",Pauline Gonthier,2021,France,Roman
"Les choses humaines","consentement,culture du viol,viol",Karine Tuil,2019,France,Roman
L'asphyxie,"LGBT,LGBTQIA+,lesbianisme",Violette Leduc,1946 - 1965,France,Roman
Thérèse et Isabelle,"LBG,LGBTQIA+,lesbianisme",Violette Leduc,1966 - 2000,France,Roman
Jonny Appleseed,"TDS,corps,décolonisation,identité,queer,racisme,réappropiation de son corps,travailleur.euse.s du sexe",Joshua Whitehead,2018,Canada,Roman
Passion simple,"désir,emprise,sexualité.s",Annie Ernaux,1991,France,Roman
La femme gelée,"charge mentale,couple hétérosexuel,domination masculine",Annie Ernaux,1987,France,Roman
Filles du vent,"#noustoutes,collages,féminicides,harcèlement de rue,sexisme ordinaire,sororité,violences,violences sexuelles",Mathilde Faure,2021,France,Roman
Apocalyspe bébé,"LGBT,LGBTQIA+,adolescence,lesbianisme,violences",Virginies Despentes,2012,France,Roman
"Les testaments","dictature,domination masculine,fécondité,patriarcat,régime totalitaire",Margaret Atwood,2019,Canada,Dystopie
Les évasions particulières,"domination sociale,injonctions,lutte pour les droits,luttes féministes,émancipation des femmes",Véronique Olmi,2020,France,Roman
Ice and Fire,"abolitionisme,féminisme radical,maltraitances,prostitution,sexualité.s,violences",Andrea Dworkin,1986,Etats-Unis,Roman
Cycle de l'Ekumen / Hainish Cycle,"agenre,genre",Ursula Le Guin,"1969",Etats-Unis,Dystopie
Chronique du pays des Mères,"crise écologique,matriarcat,éco féminisme,écologie",Élisabeth Vonarburg,1992,"Canada,Québec",Dystopie
Les vaisseaux du coeur,"amour.s,couple,couple hétérosexuel,émancipation",Benoîte Groult,1993,France,Roman
Dirty Week-end,"agressions sexuelles,domination masculine,vengeance,viol,violences sexuelles",Helen Zahavi,1991,Royaume-Uni,Roman
Confessions d'un gang de filles,"domination masculine,patriarcat,sexisme,sororité,violences",Joyce Carol Oates,1995,Etats-Unis,Roman
Les orageuses,"agressions sexuelles,justice,sororité,traumatismes,vengeance,viol",Marcia Burnier,2020,France,Roman
La servante écarlate,"dictature,domination masculine,fécondité,patriarcat,régime totalitaire",Margaret Atwood,1985,Canada,Dystopie
Bye Bye Blondie,"couple,santé mentale",Virginies Despentes,2006,France,Roman
Dans le jardin de l'ogre,"dépendance sexuelle,hypersexualité,pulsions",Leïla Slimani,2016,"France,Maroc",Roman
Se taire,"consentement,emprise,silenciation des victimes,viol,violences sexuelles",Mazarine Pingeot,2019,France,Roman
Stone Butch Blues,"LGBT,LGBTQIA+,genre,homophobie,queer,théories queer,transphobie",Leslie Feinberg,2003,Etats-Unis,Roman
L’œil le plus bleu,"alcoolisme,femmes noires,inceste,pédocriminalité,racisme,racisme structurel,viol,violences sexuelles",Toni Morrison,2008,Etats-Unis,Roman
Ariane,"amitié.s,amour.s,injonctions,lutte des classes,misogynie,relation toxique",Myriam Leroy,2018,Belgique,Roman
Cicatrices,"famille,polygamie",Dali Misha Touré,2019,France,Roman
Gran Balan,"Guyane,anticolonialisme,décolonisation,féminisme décolonial,racisme",Christiane Taubira,2020,"France,Guyane",Roman
Insoumises,"femmes noires,lesbophobie,machisme,racisme,sexisme ordinaire,sororité,validisme",Conceição Evaristo,2018,Brésil,Roman
Les impatientes,"mariage arrangé,polygamie,viol,violences,violences conjugales,violences sexuelles",Djaïli Amadou Amal,2020,Cameroun,Roman
"Fille,femme,autre / Girl,Woman,Other","LGBT,LGBTQIA+,femmes noires,homosexualité,patriarcat,racisme",Bernardine Evaristo,2020,Royaume-Uni,Roman
Une si longue lettre,"deuil,polygamie,veuvage",Mariama Bâ,1979,Sénégal,Roman
Le Choeur des femmes,"accouchement,contraception,grossesse,non désir d'enfant,violences gynécologiques,violences obstétricales",Martin Winckler,2009,France,Roman
"L'école des soignantes","maladie,violences gynécologiques,violences obstétricales",Martin Winckler,2019,France,Roman
La cité des dames,"domination masculine,domination sociale,matriarcat,stéréotypes",Christine de Pisan,1364,France,Roman
Les sorcières de la République,"domination masculine,domination sociale,patriarcat",Chloé Delaume,2016,France,Roman
Baise moi,"amitié.s,prostitution,viol,violences,violences sexuelles",Virginies Despentes,2016,France,Roman
Vernon Subutex,"SDF,alcoolisme,lutte des classes,personnes sans domicile fixe,prostitution,viol",Virginies Despentes,2016,France,Roman
Les chemins du désir,"domination masculine,désir,pornographie,sexe,sexualité.s",Claire Richard,2019,France,Roman
Comme un empire dans un empire,"crise écologique,effondrement,féminisme radical,non-désir d'enfant",Alice Zeniter,2021,France,Roman
(une nuit),"amitié.s,identité,sororité","Inès Weill-Rochant,Kenza Aloui,Saena Delacroix-Sadighiyan",2022,France,Bande dessinée
"Les mères","désir d'enfant,figure de la mère,grossesse,maternité,mère,parentalité,post-partum",Claire Bretécher,1982 - 2007,France,Bande dessinée
Bagarre érotique. Récits d'une travailleuse du sexe,"LGBT,LGBTQIA+,TDS,anti-capitalisme,féminisme pro-sexe,militantisme,prostitution,pute,travailleur.euse.s du sexe",Klou,2022,France,Bande dessinée
Nos mutineries - Réponses imparables aux idées reçues sur le féminisme,"LGBT,droits des femmes,lutte des femmes,sexisme,sexisme ordinaire","Blanche Sabbah,Eve Cambreleng",2022,France,Bande dessinée
Dans le palais des miroirs,"corps,injonction à la beauté,injonction à la minceur,injonctions,numérique",Liv Strömquist,2021,Suède,Bande dessinée
Le choix,"IVG,avortement,contraception,lutte pour les droits,luttes féministes","Alain Frappier,Désirée Frappier",2015,France,Bande dessinée
Musulmanes du monde - à la rencontre des femmes inspirantes,"femmes musulmanes,islam,portraits de femmes","Elise Saint-Jullian,LK.Imany",2019,France,Bande dessinée
Libres ! Manifeste pour s'affranchir des diktats sexuels,"injonctions,sexe féminin,sexualité féminine,sexualité.s,tabous","Diglee,Ovidie",2017,France,Bande dessinée
La remplaçante,"accouchement,grossesse,maternité,parentalité,post-partum","Mathou,Sophie Adriansen",2021,France,Bande dessinée
De père en FIV,"FIV,désir d'enfant,fécondité,infertilité,parentalité,stérilité",William Roy,2014,France,Bande dessinée
Un bébé si je peux - Voyage en infertilité,"FIV,PMA,désir d'enfant,fécondité,grossesse,infertilité,parentalité",Marie Dubois,2021,France,Bande dessinée
"La Petite Bédéthèque des Savoirs,tome 11 : Le féminisme",histoire du féminisme,"Anne-Charlotte Husson,Thomas Mathieu",2016,Belgique,Bande dessinée
"Prénom : Inna","Femen,Inna Shevchenko,Ukraine,corps,lutte contre les violences,révolution orange,viol,violences","Inna Shevchenko,Simon Rochepeau,Thomas Azuélos",2020,Ukraine,Bande dessinée
A corps et à cris - La révolution féministe des corps,"corps,réappropiation de son corps",Eve Cambreleng,2021,France,Bande dessinée
Ask Me About Polyamory: The Best of Kimchi Cuddles,"LGBT,non exclusivité,polyamours,relation non monogame",Tikva Wolf,2016,Etats-Unis,Bande dessinée
Cher corps,"corps,genre,injonctions,orientation romantique,orientation sexuelle,pilule,réappropiation de son corps,sexualité.s",Léa Bordier,2019,France,Bande dessinée
